"Kaunissaare";"Gård";"";"59.307222";"25.355278";"Viro";"2"
"Kay";"Gård";"Kaiu";"59.013611";"25.058056";"Viro";"1"
"Kemi";"";"";"65.735568";"24.565743";"Suomi";"1"
"Kexholm";"";"Priozersk";"61.035944";"30.112306";"Suomi";"1"
"Kierikkala, Vahto";"";"";"60.599163";"22.298167";"Suomi";"2"
"Kimito";"Socken";"";"60.164872";"22.727664";"Suomi";"1"
"Kimito";"";"";"60.164872";"22.727664";"Suomi";"7"
"Kivijärvi, Hinnerjoki";"";"";"60.96566";"21.884548";"Suomi";"1"
"Kjulo";"Gård";"";"61.123774";"22.344737";"Suomi";"3"
"Kohmala, Birkala";"";"";"61.458824";"23.451887";"Suomi";"1"
"Konstanz";"";"";"47.67795";"9.173238";"Saksa";"4"
"Konungsnäs";"";"";"59.367778";"17.748333";"Ruotsi";"3"
"Korois, S:t Marie";"";"";"60.467197";"22.292224";"Suomi";"3"
"Korois";"Biskopsgård";"";"60.466682";"22.291354";"Suomi";"1"
"Korpilaks, S:t Karin";"By";"";"60.462146";"22.293548";"Suomi";"1"
"Korpo";"";"";"60.162672";"21.562005";"Suomi";"1"
"Korsholm";"";"Mustasaari";"63.114115";"21.68222";"Suomi";"10"
"Koskis";"Socken";"Hämeenkoski";"61.022222";"25.154167";"Suomi";"1"
"Koskis, Vemo";"";"";"60.621827";"21.73238";"Suomi";"2"
"Koskis";"";"";"60.652148";"23.138361";"Suomi";"1"
"Kronoberg";"Biskopsgård";"";"56.94194";"14.794441";"Ruotsi";"1"
"Kuggböle, Saltvik";"";"";"60.271051";"20.034921";"Suomi";"1"
"Kumlinge";"";"";"60.259722";"20.779167";"Suomi";"1"
"Kumo";"Kyrka";"";"61.258005";"22.351982";"Suomi";"3"
"Kumo";"";"";"61.258344";"22.353935";"Suomi";"23"
"Kumogård, Kumo";"Gård";"";"61.266391";"22.318883";"Suomi";"12"
"Kundby, Rimbo";"";"";"59.73829";"18.386806";"Ruotsi";"1"
"Kuokkala, Lempäälä";"";"";"61.333876";"23.731706";"Suomi";"3"
"Kuorsalö";"";"";"60.461111";"27.391667";"Suomi";"1"
"Kurkela, Lundo";"";"";"60.520861";"22.436042";"Suomi";"1"
"Kustö";"Slott";"";"60.407776";"22.474758";"Suomi";"32"
"Kustö";"";"";"60.387112";"22.41031";"Suomi";"13"
"Kynnarby, Sjundeå";"";"";"60.161718";"24.236603";"Suomi";"1"
"Kynnysmäki, Masku";"";"";"60.542581";"22.036888";"Suomi";"1"
"Kyrkesund";"";"";"";"";"";"3"
"Kyrkslätt";"";"";"60.123493";"24.441296";"Suomi";"7"
"Kyrkäng, Pargas";"";"";"60.325047";"22.365762";"Suomi";"1"
"Hämeenkyrö";"";"Kyrö";"61.638889";"23.197222";"Suomi";"3"
