issue_place_raw,n_charters
Nim herredsting,2
Notmark,2
Ny Stettin,2
Nydala,2
Nykøbing Mors,2
Nørhald herredsting,2
Odense Sortebrødrekloster,2
Odense herredsting,2
Ofen,2
Oldesloe,2
Onsild herredsting,2
Osterhof,2
Oxford,2
Paderborn,2
Pasewalk,2
Pavia,2
Pernau,2
Plympton,2
Prémontré,2
Quierzy-sur-Oise,2
Raseborg,2
Rastenburg,2
Reims,2
Rhodos,2
"Rom, San Crisogono",2
"Rom, San Lorenzo in Damaso",2
Rostock],2
Rundtoft,2
Ryde,2
Rörchen,2
Samsø,2
Scharpau,2
Schlutup,2
Sens,2
Sigerslevøster,2
Sjællands Landsting,2
Skam herred,2
Skanderborg,2
Skanør byting,2
Skanør og Falsterbo,2
Skemminge,2
Skive,2
Skällvik,2
Skärlöv,2
Skåne,2
Sobbowitz,2
Solvik,2
Spoleto,2
St.-Remi [i Reims],2
Sta. Maria Maggiore i Rom,2
Stavanger,2
Stavern,2
Stevns herred,2
Stolp,2
Store Jyndevad,2
Stubbekøbing,2
Sutton,2
Sääksmäki,2
Sædinge,2
Tata,2
Terni,2
Thisted,2
Thorshälla,2
Thy bygdeting,2
Tirnau,2
Tommarp,2
Tower,2
Trento,2
Trøjborg,2
Tuse herredsting,2
Tybjerg herredsting,2
Tårnborg,2
Tønder herredsting,2
Uelzen,2
Vallø,2
Varberg slot,2
Ved felthæren i Skåne,2
Vendsyssel ting,2
Vester herredsting Før,2
Viborg (dom)kirke,2
Vilno,2
Visborg,2
Vitry-aux-Loges,2
Vitskøl,2
Vordingborg slot,2
Weissensee,2
Welin,2
Wittenburg,2
Wosel,2
Zierikzee,2
[Bornholm],2
[Firenze],2
[Greifswald],2
[Helsingborg],2
[Horsens],2
[Kalmar],2
[Lateranet],2
[Nørlyng herredsting eller Ommer sysselting?],2
[Reval],2
[Viborg landsting],2
[Åbo],2
[Århus],2
Ålevad,2
Århus byting,2
Ås,2
Ås kloster,2
Ærø herredsting,2
Ørkil,2
Ørum,2
Østrup,2
'Ruic',1
'Sitilianis villa',1
's-Hertogenbosch,1
(Køben)havn,1
(Lübeck),1
(Sø)borg,1
(Visby),1
*,1
*Aghøs,1
*Anxiotorp,1
*Birghesholm,1
*Glustorp,1
*Iumshosz,1
*Jordensdorp,1
*Keldaburch,1
*Stafsclenorsunde,1
*Threlthorp,1
*Øræthbæc,1
. 386A,1
. Avignon,1
.....sberg,1
1333. Ribe,1
1358,1
1399 Næstved,1
18. juni Lunds byting,1
315A,1
? Lyon,1
Aalborg?,1
Aalholm,1
Aarhu.d.mkirke,1
Abrahamstrup slot,1
Agersborg,1
Agersø,1
Aggersborg,1
Alatri,1
Alfeld,1
Almarstäk,1
Almind sysselting,1
Alnarp,1
Als,1
Als Sønderherredsting,1
Altefähr,1
Altefähr ved Stralsund,1
Altenkirchen,1
Amager,1
Amberg,1
Amiens,1
An der Daber,1
Andernach,1
Anklam,1
Annesse,1
Annisse,1
Ansgar kirkegård i Bremen,1
Antwerpen,1
Appenæs,1
Arkö,1
Arneburg,1
Asa kirke,1
Aschersleben,1
Aspenäs,1
Asselt,1
Assendrup,1
Atrecht,1
Avezac,1
Axevall,1
Aylestone Hill,1
Bad Wilsnack,1
Baholm ved Bohus,1
Bardowick,1
Bath,1
Bavelse,1
Beggerow,1
Bent Eggertsens hus i Odense,1
Berga,1
Berga kirke,1
Bergdorf,1
Berkhamstead,1
Bernstein,1
Biskops-Arnö,1
Bispegården i Ribe,1
Bispegården i Slesvig,1
Bispegården i Århus,1
Bistrup,1
Bjerre herredsting,1
Bjæverskov herredsting,1
Blangsted,1
Blangstedgård,1
Blistrup,1
Bolmså,1
Bordesholm kloster,1
Borgen Bohus,1
Borgen Falsterbo,1
Borgen Gottorp,1
Borgen Hindsgavl,1
Borgen Holbæk,1
