issue_place_raw,n_charters
Grobenitz,1
Cambrai,1
Cismar,1
Møllerup,1
Vietlübbe,1
Lille,1
Graft,1
Nor,1
Annesse,1
Væ,1
Husby,1
Kragelund,1
Vä,1
Gamla Sigtuna,1
Fænøkalv,1
Steinhagen,1
Esrom kloster,1
Nijmegen,1
Rathenow (Ratkau?),1
Tjurholmen,1
Stegeby,1
Warne(münde),1
Wittenstein,1
Kolasetter,1
*Jordensdorp,1
Tribsees,1
Malchin,1
*Birghesholm,1
Herrisvad kloster,1
Sagard,1
Wesenberg,1
Galtenkær,1
Neu-Kalen,1
Glambek,1
Herrenfähre,1
Urkelljunga,1
by,1
Berga kirke,1
Kirkerup,1
Toulouse,1
Rostok,1
Smidstrup,1
Keldholm,1
Holma,1
Ulstrup,1
Skillinge,1
Zehdenick,1
Mestlin,1
Polchow,1
Schönbeck,1
Grevlunda,1
Nidaros,1
Monteux,1
Dassow,1
Vreta,1
Stenløse,1
Svenstrup,1
Ribniz,1
Altenkirchen,1
Jever,1
Oranienburg,1
Meyenburg,1
Middelburg,1
Zarrentin,1
Lychen,1
Æbeltoft,1
Meklenburg,1
Hohen-Vicheln,1
Villands herredsting,1
Reinstorf,1
Eberswalde,1
Hørby (Sørbymagle?),1
Ejlstrup,1
Osnabrück,1
Brunsbüttel,1
Zwilipper Fähre,1
K[alø],1
Torup,1
Ruchow,1
Orebro,1
Flakkebjærg herredsting,1
Kavelsdorf,1
Gingst,1
.....sberg,1
Musenbeke,1
Stolpe,1
An der Daber,1
Gandenitz,1
Moldesund,1
Viborg (Finland),1
Kannizar,1
Altefähr,1
Hovlbjærg herredsting,1
Daneholm,1
Treiden,1
Agersborg,1
Dyrs Sønderherredsting,1
Østerherredsting paa Før,1
Verden,1
Litjenburg,1
Hansühn,1
*Stafsclenorsunde,1
Paa broen v. Görne,1
Schwisow,1
Ordrup,1
Thørkelstorp,1
Koykere,1
Stokkemark,1
Hiddensee kloster,1
Såderköping,1
Kobrow,1
Gertruidenberg,1
Blangsted,1
Neumiinster,1
1333. Ribe,1
Hapsela,1
Thorun,1
Fæmø,1
Nirnberg,1
Næstved st. Peders kloster,1
Ralswieck,1
Byfleet,1
Guildford,1
Landshut,1
R[oskilde],1
Paddeborg,1
Volborg herredsting,1
Riseberga,1
Tjærebylund,1
Kærbylund,1
Läckö,1
Getakir ved Varberg,1
Langstoft,1
Härlanda,1
Aspenäs,1
Langelands Nr. herredsting,1
Vendsyssel bygdeting,1
Gärds herredsting,1
Wittstock,1
Vemmenhög herredsting,1
Stehag,1
Grånna,1
Tågarp,1
Priwall,1
Burg,1
"Lund, sommersynoden",1
Lidingö,1
Maaslev,1
Oxie herredsting,1
Königsberg,1
Soldin,1
Gartz,1
Driesen,1
Lowicz,1
Narva,1
Näset,1
Zudar,1
Gærds herredsting,1
Gränna,1
Kyritz,1
Nygård,1
Mâle ved Brügge,1
Ø kloster,1
Villenueve,1
Holbro herredsting,1
Bäckeryd,1
Fjärås kirke,1
Lunden,1
Anklam,1
1358,1
Dordrecht,1
Vilmenitz,1
Greisfwald,1
Borgen i Salon,1
Edoms herredsting,1
Beggerow,1
Kalleby,1
Neumünster-Bordesholm,1
Holebygård,1
Ved Guben,1
Nær Svaneholm,1
Langen-Jarchow,1
Torp,1
Brockenhurst,1
Trelleborg,1
Almind sysselting,1
Värpinge,1
Borgen Segeberg,1
Bernstein,1
Foran Skodborg,1
Foran borgen Ålborg,1
Rastede,1
Osterburg,1
I Skåne,1
Foran Koldinghus,1
Neuenburg,1
Bolmså,1
Kallies,1
Bardowick,1
Edsviken,1
Freienwalde,1
Stockholm franciskanerkloster,1
Ansgar kirkegård i Bremen,1
Massow,1
Wallingford,1
Borgen i Skanør,1
Teje,1
Fürstenberg a. O,1
Fürstenberg a. O.,1
Katslösa,1
Domkirken i Lübeck,1
Vor Frue kirke i Hamburg,1
Jasenitz,1
Hald,1
] Hald,1
Noves,1
Gedesbygård,1
Pritzwalk,1
Borgen Holbæk,1
Elbogen,1
Eger,1
Stubber kloster,1
Den lille borg i Reval,1
Thysyssel bygdeting,1
Borgen Schwerin,1
Brunnby,1
Borgen Varberg,1
Arneburg,1
Sankt Godehards våbenhus i Lund,1
Biskops-Arnö,1
Säckestad,1
S. Crisogono i Rom,1
Sta. Maria in Trastevere i Rom,1
Bysta,1
Gården Gedser,1
Nykøbing på Falster,1
Trolle-Ljungby,1
Jarschenberg landsting,1
Borgen Falsterbo,1
Borgen på Bornholm,1
Lunde byting,1
Nær Stigsnæs,1
Kirkegården i Brenderup,1
Hårby,1
St. Peders kirke i Lübeck,1
Homborgsund,1
Hubbrechting,1
Skepparslöv,1
Borgen Åhus,1
Valmontone,1
Neuenkamp,1
Vor Frue Kirkes kor i Riga,1
Domkirken i Napoli,1
Lucera,1
Skatelöv,1
Halland,1
[Kannikeboligen i Viborg],1
Kannikeboligen i Viborg,1
Sakristiet i domkirken i Hamburg,1
Lingen,1
Sognekirken i Rendsborg,1
Domkirken i Hamburg,1
Sjørup,1
Altefähr ved Stralsund,1
Sjötorp,1
Veinge kirke,1
Valmundsö,1
Sakristiet i Roskilde domkirke,1
Slesvig domkirkes kor,1
Turestorpsö,1
Mariakirken i Oslo,1
Dalaborg,1
[Kapitelhuset i Ribe],1
Før Vester herredsting,1
Mors Sønder herredsting,1
Cambridge,1
Foran Ringstaholm,1
Bispegården i Ribe,1
Brattian,1
Berga,1
Nydala kloster,1
Ödeshög kirke,1
Borgen Wolde,1
Elfsborg,1
Hardsyssel bygdeting,1
Neubukow,1
Borgen Rendsborg,1
Villstad,1
Naumburg,1
Harvestehude kloster,1
Vemmenhågs herredsting,1
Gotha Augustinerkloster,1
Hjelmseryds kirke,1
Axevall,1
Hammerhus,1
Sejlstrup,1
Höxter,1
Trollaborg,1
Montau,1
Ullerup,1
S. Pietro in Rom,1
Gudmuntorp,1
Stockholm el. Helsingborg,1
Grebin,1
Gladsax,1
Goldingen,1
Trappensee,1
Nykoping,1
Roggenhausen,1
Klinteholm,1
Skara 25,1
Iersleuæ,1
Søholm,1
Quévy,1
Fryele,1
Faxaholm,1
Tuchel,1
Skovkloster,1
Ingelstads herredsting,1
Vemmenhögs herredsting,1
Leske,1
Almarstäk,1
1399 Næstved,1
Fåborg,1
Lundekirkens søndre kor,1
18. juni Lunds byting,1
Antwerpen,1
Hanhals,1
Draftinge,1
Erfurt,1
Gärdslöv,1
Ingåsa,1
315A,1
Als Sønderherredsting,1
. 386A,1
Jonkoping,1
San Felìz de Torío,1
Jerusalem,1
[England],1
Leangasi,1
Wendischtun,1
Civitavecchia,1
"Rom, Lateranet",1
Padova,1
Livron-sur-Drôme,1
Edoms herred,1
Eilenburg,1
"Stralsund, franciskanernes refektorium",1
Bergdorf,1
Marsberg,1
Sarstedt,1
Parchim,1
Münster,1
Kisa Kirke,1
Haderslevhus,1
Ved Årøsund,1
Lunholm,1
Kischau,1
Ehrenfels,1
Stubbarp,1
Venezia,1
Fågelvik,1
Svansryd,1
"Ringsted, Sjællands landsting",1
Räfsnäs,1
Smedby,1
Berkhamstead,1
Tutbury Slot,1
Sankt Marthas kapel i Lund,1
Schaaken,1
Divitz,1
Stegeholm,1
Näs kirke,1
Färlöv,1
Rügenwalde,1
Bukow,1
Schivelbein,1
Grieben,1
Borgen Viborg,1
Högsäter,1
Borrby,1
's-Hertogenbosch,1
Vor Frue kirkegård i Randers,1
Hardeberga gård,1
Nintona,1
Ommer sysselting,1
Norrköping,1
Bönhof,1
Slite,1
Atrecht,1
Foran Guldborg,1
Penskowo,1
Voer klosterkirke,1
Borgen København,1
Lankis,1
Sikois,1
Sandnäs,1
Sankt Marthas kapel i Lunds domkirke,1
Fastarby,1
Uskela,1
Uskela by,1
Vista,1
Æbleholm,1
Rosendal,1
Hvetlanda,1
Hamneda ting,1
Pontefract,1
Lindberga,1
Neidenburg,1
Rossared,1
Lunde landsting,1
Schlochau,1
Windsor Park Manor,1
Støvring herredsting,1
Domnau,1
Hertford borgen,1
Borgen i Tønder,1
Christburg,1
King's Lynn,1
Leicester,1
Assendrup,1
Mors Nørre herredsting,1
Bytinget i Lund,1
Naum,1
Gerdrup,1
Värnamo,1
Asa kirke,1
Schaacken,1
Gorinchem,1
Kassel,1
Hillerslev,1
"Vendelbo bygdeting, Hjørring",1
Før Vesterherred herredsting,1
Büchen,1
Ekesjö,1
Borgen i Kalmar,1
Fjälkestad,1
Borgen Wolgast,1
Flintarp,1
Amberg,1
Skedala,1
Tempzin,1
Borgen Bohus,1
Baholm ved Bohus,1
Gummetorp,1
Borgen Hindsgavl,1
Höreda,1
Nykøbing eller Nyborg?,1
Nørrejylland (Viborg) landsting,1
Franciskanerklosteret i Lund,1
Rødding herredsting,1
Borgen Gottorp,1
Gaeta,1
Sønderherreds ting på Mors,1
Gaiete,1
Landstinget i Halmstad,1
Neuhaus,1
Dueholm,1
Üxcüll,1
Herrengrebin,1
Vyborg,1
Visegrad,1
Söderby,1
Gråbrødre kloster i Odense,1
San Pietro i Rom,1
Hohenstein,1
Gärdslöf,1
Sulzbach,1
Borgholm,1
*,1
Pärnau,1
Tvede,1
Inowrocław,1
Marienberg ved Flensborg,1
Marieborg (ty. Marienberg) ved Flensborg,1
"Ås kloster, Halland",1
[Lund el. Malmø],1
slottet Strelitz,1
Växjö domkirke,1
Århus kapitel,1
Guldstav,1
Calais,1
"Ågård, Billeberga sogn",1
Tryherredsting,1
Ribe domkirkes højkor,1
Ærkedegn Erik Dosenrodes residens i Flensborg.,1
Öslöv,1
Hornum herred,1
[Århus stift],1
Demstrup,1
Bølling herredsting,1
Leeds,1
Farvandet ud for Lollands albue,1
Holbek (Nordfriesland),1
[Holbek] (Nordfriesland),1
Horns herredsting og Sjællands landsting,1
borgen Uexküll,1
Stargard i Pommern,1
Satserup,1
Borgå,1
Æbelholt kloster,1
Veddige,1
Hornum herredsting,1
Pinneberg,1
Lollands albue,1
Forstena,1
Gebennis*,1
Hermannsdorf,1
Padise kloster,1
Ronneburg slot,1
Fåborg kirke,1
Jellingsyssels ting,1
Mantua og Firenze,1
Wolmar,1
København Gråbrødrekloster,1
Sankt Mikkels kirke i Slagelse,1
Roma kloster på Gotland,1
Runö i Rigabugten,1
Ljungby,1
Fulltofta,1
Borgen Wenden,1
Gumlösa,1
Eutin bispegård,1
[Års herredsting eller Himmer sysselting?],1
Ordensborgen Wenden,1
Ordensborgen Segewold,1
"Rom, Maria Maggiore",1
Roskilde Sankt Clara Kloster,1
Rönö slot,1
"Rom, Sta. Maria Maggiore",1
[Landskrona],1
"Rom, Sankt Peter",1
Brünn,1
Morsø Sønderherredsting,1
Bordesholm kloster,1
Bent Eggertsens hus i Odense,1
Sallingsyssels ting,1
Ærkebiskoppens kammer i Lund,1
Schauenburg slot,1
Landsberg,1
"Rom, S. Maria Maggiore",1
Lviv,1
Ofen (Budapest),1
Ribe domkirkes kirkegård,1
Neustadt,1
Winsen,1
Uelsen,1
Budapest (Ofen),1
Palestrina stift,1
Hessel,1
Hardbo bygdeting,1
Uetersen klosters hestestald,1
[Fuglsang?],1
Nicosia,1
Wien,1
Sopron,1
Alnarp,1
Cammin,1
Oxelösund havn,1
[Skåne],1
Sankt Barbaras kapel i Ribe domkirke,1
Moesgård,1
[Bara herredsting],1
Nybøl herredsting,1
Verchen,1
Vor frue kirke i København,1
Edinburgh,1
Sankt Nikolaj kirke i Wyk på Før,1
"Genazzano og Rom, Santi Apostoli",1
[Antwerpen],1
[Bruxelles],1
['s-Hertogenbosch],1
[Dordrecht],1
[Leiden],1
Helmstedt,1
Hannover,1
Göttingen,1
Einbeck,1
Northeim,1
Quedlinburg,1
Aschersleben,1
Hameln,1
Alfeld,1
[Kolberg],1
[Köslin],1
Kronstadt,1
Egede,1
Delmenhorst,1
[Århus kapitel],1
Rouen,1
Schintau,1
Tommarp kloster,1
Bjerre herredsting,1
"Rom, S. Pietro",1
Nørholm,1
Norberg,1
"Rom, Santo Spirito in Sassia",1
Hasle herredsting,1
Horsens Gråbrødreklosters kirkegård,1
Ronneby,1
[Fjends herredsting eller Salling sysselting?],1
Vindinge herred,1
Nørre Djurs herredsting,1
"Fæbæk, Langeland",1
Slidre,1
Dalby kloster,1
[Wilsnack],1
Gåsevadsholm,1
Sønder Gøs herredsting,1
Holmans herredsting,1
Hellum herred,1
Kolberg,1
Sjællands landsting i Ringsted,1
Jersö,1
Tosterup,1
"Ålstrup, Lolland",1
Bad Wilsnack,1
Sakristiet i Lund domkirke,1
Husum,1
Bispegården i Slesvig,1
Görlitz,1
Skodborg herredsting,1
Lokutoriet i [Maribo kloster],1
Emmerich,1
Feltlejren i Kisdy an der Theiss,1
Arkö,1
Feltlejren ved floden Theiss,1
Strukstrup herredsting,1
Han herredsting (?),1
Hviding kirkegård,1
Nakskov Helligåndskapel,1
Ribe Gråbrødrekloster,1
Flensborg rådhus,1
Vollerwiek,1
"Låstrup, Rinds herred",1
Bispegården i Århus,1
[Skodborg herredsting eller Hardsyssels ting?],1
Palombara Sabina,1
