navn,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
Timring Sogn,Timring,Sogn,Sogn,1,2,1000-01-01,9999-12-31,no,0.0,56.165181,8.704847,
Timring Sognekommune,Timring,Sognekommune,Sognekommune,1,1,1906-04-01,1970-03-31,no,0.0,56.165219,8.704994,
Timring-Vildbjerg-Nøvling Sognekommune,Timring-Vildbjerg-Nøvling,Sognekommune,Sognekommune,1,1,1842-01-01,1906-04-01,no,0.0,56.177581,8.734722,
Tind Ejerlav,Tind,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.34544,9.72261,
Tindbæk Ejerlav,Tindbæk,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,56.468077,9.756704,
Ting Jellinge Ejerlav,Ting Jellinge,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.300508,11.46787,
Ting Jellinge Sogn,Ting Jellinge,Sogn,Sogn,1,2,1000-01-01,9999-12-31,no,0.0,55.300508,11.46787,
Tingbjerg Sogn,Tingbjerg,Sogn,Sogn,1,1,1984-09-01,9999-12-31,no,0.0,55.718832,12.487418,
Tingerup Ejerlav,Tingerup,Ejerlav,Ejerlav,2,4,1000-01-01,9999-12-31,no,19.98,55.407393,11.915996,
"Tingkredsen for Rønhave, Sønderborg Ladegaard, Majbølgaard og Kegnæsgaard","Tingkredsen for Rønhave, Sønderborg Ladegaard, Majbølgaard og Kegnæsgaard",Birk,Birk,1,3,1755-07-02,1853-05-26,no,0.0,54.922354,9.871198,
Tinglev Afstemningsområde,Tinglev,Sønderjysk afstemningsområde,Soenderjysk_afstemningsomraade,1,1,1920-01-10,1920-01-10,no,0.0,54.931413,9.243772,
Tinglev Ejerlav,Tinglev,Ejerlav,Ejerlav,1,4,1000-01-01,9999-12-31,no,0.0,54.931222,9.246128,
Tinglev Kommune,Tinglev,Kommune,Kommune,1,5,1970-04-01,2006-12-31,no,0.0,54.950086,9.181917,
Tinglev Sogn,Tinglev,Sogn,Sogn,1,4,1000-01-01,9999-12-31,no,0.0,54.906748,9.235371,
Tinglev Sognekommune,Tinglev,Sognekommune,Sognekommune,1,1,1921-04-01,1970-03-31,no,0.0,54.906661,9.23466,
Tingskoven Ejerlav,Tingskoven,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.079605,10.116929,
