name_norm,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
herslev bredstrup,Herslev-Bredstrup,Pastorat,Pastorat,1,1,1975-01-01,1979-07-02,no,0.0,55.578329,9.62717,
herslev gevninge,Herslev-Gevninge,Pastorat; Sognekommune,Pastorat; Sognekommune,2,2,1842-01-01,1970-03-31,no,0.0,55.660357,11.973796,
herslev gevninge kornerup,Herslev-Gevninge-Kornerup,Pastorat,Pastorat,1,4,1000-01-01,2004-07-01,no,0.0,55.655581,11.975033,
herslev viuf,Herslev-Viuf,Pastorat; Sognekommune,Pastorat; Sognekommune,2,2,1770-07-02,1860-01-01,no,2.25,55.577883,9.51743,
herslevgaarde,Herslevgårde,Ejerlav,Ejerlav,1,1,1718-07-02,1872-01-01,no,0.0,55.08946,9.169018,
hersnap,Hersnap,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.52019,10.687809,
hersom,Hersom,Ejerlav; Sogn,Ejerlav; Sogn,2,6,1000-01-01,9999-12-31,no,0.31,56.567646,9.558754,
hersom vester bjerregrav,Hersom-Vester Bjerregrav,Sognekommune,Sognekommune,1,2,1920-04-01,1970-03-31,no,0.0,56.577526,9.531412,
hersom vester bjerregrav klejtrup,Hersom-Vester Bjerregrav-Klejtrup,Pastorat; Sognekommune,Pastorat; Sognekommune,3,9,1000-01-01,2004-07-01,no,0.01,56.587963,9.575827,
hersomgaard,Hersomgård,Ejerlav,Ejerlav,1,4,1000-01-01,9999-12-31,no,0.0,56.563903,9.543173,
herstederne,Herstederne,Kommune,Kommune,1,2,1970-04-01,2006-12-31,no,0.0,55.680333,12.352127,
herstedoester,Herstedøster,Ejerlav; Sogn,Ejerlav; Sogn,2,5,1000-01-01,9999-12-31,no,0.14,55.685829,12.373331,
herstedoester herstedvester,Herstedøster-Herstedvester,Sognekommune,Sognekommune,1,2,1842-01-01,1970-03-31,no,0.0,55.681156,12.353036,
herstedvester,Herstedvester,Ejerlav; Pastorat; Sogn,Ejerlav; Pastorat; Sogn,3,11,1000-01-01,9999-12-31,no,0.39,55.675742,12.340236,
hertugdoemmet lyksborg,Hertugdømmet Lyksborg,Amt,Amt,1,4,1622-07-02,1779-07-02,no,0.0,54.911207,9.685123,
hertugdoemmet nordborg,Hertugdømmet Nordborg,Amt,Amt,1,3,1622-07-02,1676-07-01,no,0.0,55.011254,9.862808,
hertugdoemmet nordborg ploen,Hertugdømmet Nordborg-Pløn,Amt,Amt,1,4,1676-07-01,1729-10-04,no,0.0,54.997682,9.927038,
hertugdoemmet ploen,Hertugdømmet Pløn,Amt,Amt,1,1,1633-07-02,1676-07-01,no,0.0,54.920837,10.277972,
hertugdoemmet soenderborg,Hertugdømmet Sønderborg,Amt,Amt,1,13,1564-07-01,1667-07-02,no,0.0,54.931855,9.837016,
hesbjerg,Hesbjerg,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.102555,12.354345,
hesede,Hesede,Ejerlav,Ejerlav,1,3,1736-07-02,9999-12-31,no,0.0,55.279178,11.929543,
hesle,Hesle,Ejerlav,Ejerlav,2,2,1000-01-01,9999-12-31,no,0.21,55.31503,10.01585,
heslegaard og garnevraa,Heslegård og Garnevrå,Ejerlav,Ejerlav,1,1,1000-01-01,1744-12-31,no,0.0,54.866874,12.115325,
hesnaes,Hesnæs,Ejerlav,Ejerlav,1,2,1745-12-31,9999-12-31,no,0.0,54.842087,12.140646,
hessel,Hessel,Ejerlav,Ejerlav,5,11,1000-01-01,9999-12-31,yes,147.72,,,"130029@56.3958,10.8770 | 132642@55.0338,9.1071 | 128470@56.6802,9.1786 | 131374@56.3646,8.8143 | 131860@55.6954,8.6842"
hesselager,Hesselager,Birk; Ejerlav; Pastorat; Sogn; Sognekommune,Birk; Ejerlav; Pastorat; Sogn; Sognekommune,5,5,1000-01-01,9999-12-31,no,1.46,55.182092,10.773079,
hesselagergaard,Hesselagergård,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.157242,10.762055,
hesselbaek,Hesselbæk,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,57.539679,10.166915,
hesselballe,Hesselballe,Ejerlav,Ejerlav,3,6,1000-01-01,9999-12-31,yes,64.68,,,"129927@56.2690,10.2677 | 130993@55.6135,9.4145 | 130853@55.8424,9.5568"
hesselbjerg,Hesselbjerg,Ejerlav,Ejerlav,9,13,1000-01-01,9999-12-31,yes,163.39,,,"125109@55.3498,11.9441 | 124959@55.5714,11.4223 | 126828@54.8141,10.6661 | 131495@56.5557,8.9988 | 124289@56.0958,12.1731 | 128779@56.9429,8.8833 | 131129@56.1082,9.1163 | 129042@56.3672,9.6911 | 132679@55.1280,9.3946"
hesselby,Hesselby,Ejerlav,Ejerlav,1,1,1732-12-31,9999-12-31,no,0.0,55.259211,11.312894,
hesselgaard,Hesselgård,Ejerlav,Ejerlav,1,1,1000-01-01,1870-12-31,no,0.0,54.890991,9.527792,
hesselho,Hesselho,Ejerlav,Ejerlav,2,3,1000-01-01,9999-12-31,no,10.0,55.695848,8.743856,
hesselholt,Hesselholt,Ejerlav,Ejerlav,2,5,1000-01-01,9999-12-31,no,21.4,56.59824,9.705731,
hesselholt huse,Hesselholt Huse,Ejerlav,Ejerlav,1,3,1736-07-02,9999-12-31,no,0.0,56.788499,9.858831,
hessellund,Hessellund,Ejerlav,Ejerlav,2,5,1000-01-01,9999-12-31,yes,46.59,,,"129178@56.3068,9.1089 | 131747@55.4887,8.7753"
hesselmed,Hesselmed,Ejerlav,Ejerlav,1,6,1000-01-01,9999-12-31,no,0.0,55.615059,8.274171,
hesseloe,Hesselø,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,56.196414,11.706158,
hesselroed,Hesselrød,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.929212,12.439982,
