issue_place_raw,n_charters
[Tjust härads tingsplats],1
Hanekinds härads,1
Ärkebiskopsborgen Hammershus,1
Kungshusby1,1
Benestad,1
Häggeby kyrka,1
Naskov,1
Kimito kyrkby,1
”in Candia” (Kreta),1
Norra Lund i Flistads socken,1
Lida,1
Holms kyrka på Dal,1
Ärkebiskopens borg på Bornholm,1
”Biærwinda”,1
Vibyryds kyrka,1
Wroc?aw,1
Ymseborg,1
Provinsialkonciliet i (Söder-)Tälje,1
Lagtinget?i?Linköping,1
Ärkebiskopens gård Hörby,1
Laglösaköping?(Köping),1
Malstanäs,1
På tinget i Lytisberg,1
Lytisberg vid (Östra) Husby kyrka på Vikbolandet,1
Hästholmen?vid?Västerås,1
(Österrekarnes) tingsplats,1
Uppsala domkyrkas kapitelsal,1
På tinget i Slättemo,1
Mjölkvik,1
Stäkeholms slott,1
Våldö,1
(Provinsial)konciliet i (Söder-)Tälje,1
Fåleberg,1
(på tinget vid Eklöt),1
Blackstorp,1
Oppunda tingplats,1
Trögds (härads)ting,1
Erikstad i Bankekinds härad,1
(Erikstad i) Bankekinds härad,1
Stadstinget (i Malmö),1
Lytisbergs tingsplats vid (Östra) Husby på Vikbolandet,1
Lytisbergs tingsplats vid (Östra) Husby kyrka på Vikbolandet,1
Lytisbergs tingsplats,1
Fallnaveka,1
Skattna tingsplats,1
”Wihcherlli”,1
(Trögds ting),1
Ärkebiskopsgården(Biskops-)Arnö,1
Tångelanda,1
Lytisberg vid (Östra) Husby,1
Växjö domkyrkas sakristia,1
”rugbyærghumh”1,1
Kvigerum,1
Harbro i Björnlunda socken,1
Sjövik,1
Björlanda kyrkogård,1
Räkningeholmen (nu Reimersholme) vid Stockholm,1
(Slättemo ting),1
Anundshögs ting,1
”Jowarstorp”,1
*Rissla,1
Österrekarne tingsplats,1
Vibyryd (Östra Ryd),1
(oläslig ort),1
Byerko,1
Stekeholm,1
Öster Rekarnes ting,1
Lanxrwm,1
(Seminghundra härads tingsplats),1
Gullagrind,1
Akkon,1
Laghmandznæs,1
Valmontone,1
Akkon1,1
[By socken],1
Ortala i Häf/ne/rö socken,1
Hästholmens ting,1
Kräcklinge kyrka,1
Sverkersbo (nu Sverkersholm),1
Gjeilo (i Skjåk).,1
”visti”,1
”Myrasyo” (Myresjö?),1
”in castro Lucerie”,1
Skavastad,1
Sunde i Folkärna socken,1
Skedvi ting,1
Örebro härads tingsställe,1
Bobergs tingsställe,1
Motala tingsställe,1
Hogstads tingsställe,1
Östra Rekarne tingsställe,1
(Motala ting),1
Boberg härads tingsplats,1
Viemose,1
”Thorsang”,1
Kudlista,1
Kyl,1
Valnäs,1
Skyllersta härads tingsställe,1
Nykopie,1
Buringe,1
Grimstens härads tingsställe,1
Hardemo härads tingsställe,1
Hardemo tingsställe,1
Stalbärgs ting (i Hammarkinds härad),1
(Simtuna härad),1
Tuhundra härads tingsställe,1
Lysings härads ting,1
Gorve,1
Valkebo härads tingställe,1
Rytzlo,1
Hughstada (=Hogstad i Göstrings härad),1
Stekaholms slott,1
”Laghmanznæss”,1
Bobergs tingställe,1
Myrby,1
Hjertlanda,1
”Skavastadh”,1
”Svingarn”,1
Skeppstuna kyrka,1
”Linneraas” (Linderås),1
”Wäthersholm”,1
”Wimarp”,1
Västra härads ting,1
”Wardingburgh”,1
Gislastad,1
"Eksjö ting (Västra härad, Njudung)",1
Normalösa kyrka,1
Västra Rekarnes häradsting,1
Västerrekarnes häradsting,1
Räfvelsta,1
”Bjärbo”,1
Bohult,1
Korusala,1
"Söderbykarl, i Håkan Fadersson gård (manerio)",1
”Gimsö”,1
”Walmunzö”,1
Torkilstorp,1
Solberga kloster,1
Landsberga,1
