toraid;tora_prefLabel;tora_altLabel;parish;hundred;tora_province;note;tora_note;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;tora_coordinate_accuracy;tora_source;tora_source_url;toraid_url
4644;Tybble;;Godegård;Bråbo h:d;Östergötland;;;6516917.6400;516614.5164;58.7919;15.2875;high;D3:225;https://sok.riksarkivet.se/bildvisning/R0000160_00158;https://sok.riksarkivet.se/topografi/4644
4645;Rådåsa;;Godegård;Bråbo h:d;Östergötland;;;6515792.4056;515184.9712;58.7819;15.2626;high;D3:233;https://sok.riksarkivet.se/bildvisning/R0000160_00163;https://sok.riksarkivet.se/topografi/4645
4646;Åsa;;Godegård;Bråbo h:d;Östergötland;;;6512781.5865;515206.8692;58.7548;15.2628;high;D3:233;https://sok.riksarkivet.se/bildvisning/R0000160_00163;https://sok.riksarkivet.se/topografi/4646
4647;Isefall;;Godegård;Bråbo h:d;Östergötland;;;6511942.9345;515542.0944;58.7473;15.2686;high;D3:233;https://sok.riksarkivet.se/bildvisning/R0000160_00163;https://sok.riksarkivet.se/topografi/4647
4648;Ringarhult;;Godegård;Bråbo h:d;Östergötland;;;6505628.6101;511658.9959;58.6907;15.2011;high;D3:237;https://sok.riksarkivet.se/bildvisning/R0000160_00166;https://sok.riksarkivet.se/topografi/4648
4649;Ånshult;;Godegård;Bråbo h:d;Östergötland;;;6507130.7057;509715.3507;58.7042;15.1677;high;D3:240;https://sok.riksarkivet.se/bildvisning/R0000160_00168;https://sok.riksarkivet.se/topografi/4649
4650;Folkhult;;Godegård;Bråbo h:d;Östergötland;;;6506173.9003;509107.3766;58.6956;15.1571;high;D3:240;https://sok.riksarkivet.se/bildvisning/R0000160_00168;https://sok.riksarkivet.se/topografi/4650
4651;Båseberg;;Godegård;Bråbo h:d;Östergötland;;;6511214.5797;504730.7138;58.741;15.0817;high;D3:242;https://sok.riksarkivet.se/bildvisning/R0000160_00169;https://sok.riksarkivet.se/topografi/4651
4652;Sinsberg;;Godegård;Bråbo h:d;Östergötland;;;6510782.3210;503876.8866;58.7371;15.067;high;D3:240;https://sok.riksarkivet.se/bildvisning/R0000160_00168;https://sok.riksarkivet.se/topografi/4652
4653;Krassbäck;;Godegård;Bråbo h:d;Östergötland;;;6510720.2493;507990.9357;58.7365;15.138;high;D3:245;https://sok.riksarkivet.se/bildvisning/R0000160_00171;https://sok.riksarkivet.se/topografi/4653
