toraid;tora_prefLabel;tora_altLabel;cadastral_unit_id;type;littera;assessment_hemmantal;parish;tora_province;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;koordinatkod;tora_source;tora_source_url;toraid_url
19;Grana;;2;kronohemman;2;;Vallentuna;Uppland;6603825.1860;669401.2518;59.5384;17.9961;Hög;A10:52-53, A14:142;https://sok.riksarkivet.se/bildvisning/R0000150_00031, https://sok.riksarkivet.se/bildvisning/90002986_00170;https://sok.riksarkivet.se/topografi/19
19;Grana;;3;kronohemman;3;;Vallentuna;Uppland;6603825.1860;669401.2518;59.5384;17.9961;Hög;A10:52-53, A14:142;https://sok.riksarkivet.se/bildvisning/R0000150_00031, https://sok.riksarkivet.se/bildvisning/90002986_00170;https://sok.riksarkivet.se/topografi/19
20;Hassla;;1;kronohemman;1;;Vallentuna;Uppland;6604940.0048;669496.2367;59.5484;17.9987;Hög;A10:54;https://sok.riksarkivet.se/bildvisning/R0000150_00032;https://sok.riksarkivet.se/topografi/20
20;Hassla;;2;kronohemman;2;;Vallentuna;Uppland;6604940.0048;669496.2367;59.5484;17.9987;Hög;A10:54;https://sok.riksarkivet.se/bildvisning/R0000150_00032;https://sok.riksarkivet.se/topografi/20
20;Hassla;;3;kronohemman;3;;Vallentuna;Uppland;6604940.0048;669496.2367;59.5484;17.9987;Hög;A10:54;https://sok.riksarkivet.se/bildvisning/R0000150_00032;https://sok.riksarkivet.se/topografi/20
21;Stora Mällösa;Mällösa;1;skattehemman;1;;Vallentuna;Uppland;6605444.5642;669090.3186;59.5531;17.9919;Hög;A10:55;https://sok.riksarkivet.se/bildvisning/R0000150_00032;https://sok.riksarkivet.se/topografi/21
21;Stora Mällösa;Mällösa;2;frälsehemman;2;;Vallentuna;Uppland;6605444.5642;669090.3186;59.5531;17.9919;Hög;A10:55;https://sok.riksarkivet.se/bildvisning/R0000150_00032;https://sok.riksarkivet.se/topografi/21
22;Lindö;;1;skattehemman;1;;Vallentuna;Uppland;6606041.2435;670215.1279;59.5579;18.0123;Hög;A10:56-57, A14:140;https://sok.riksarkivet.se/bildvisning/R0000150_00033, https://sok.riksarkivet.se/bildvisning/90002986_00168;https://sok.riksarkivet.se/topografi/22
22;Lindö;;2;frälsehemman;2;;Vallentuna;Uppland;6606041.2435;670215.1279;59.5579;18.0123;Hög;A10:56-57, A14:140;https://sok.riksarkivet.se/bildvisning/R0000150_00033, https://sok.riksarkivet.se/bildvisning/90002986_00168;https://sok.riksarkivet.se/topografi/22
22;Lindö;;3;frälsehemman;3;;Vallentuna;Uppland;6606041.2435;670215.1279;59.5579;18.0123;Hög;A10:56-57, A14:140;https://sok.riksarkivet.se/bildvisning/R0000150_00033, https://sok.riksarkivet.se/bildvisning/90002986_00168;https://sok.riksarkivet.se/topografi/22
22;Lindö;;4;kronohemman;4;;Vallentuna;Uppland;6606041.2435;670215.1279;59.5579;18.0123;Hög;A10:56-57, A14:140;https://sok.riksarkivet.se/bildvisning/R0000150_00033, https://sok.riksarkivet.se/bildvisning/90002986_00168;https://sok.riksarkivet.se/topografi/22
22;Lindö;;5;frälsehemman;5;;Vallentuna;Uppland;6606041.2435;670215.1279;59.5579;18.0123;Hög;A10:56-57, A14:140;https://sok.riksarkivet.se/bildvisning/R0000150_00033, https://sok.riksarkivet.se/bildvisning/90002986_00168;https://sok.riksarkivet.se/topografi/22
22;Lindö;;6;frälsehemman;6;;Vallentuna;Uppland;6606041.2435;670215.1279;59.5579;18.0123;Hög;A10:56-57, A14:140;https://sok.riksarkivet.se/bildvisning/R0000150_00033, https://sok.riksarkivet.se/bildvisning/90002986_00168;https://sok.riksarkivet.se/topografi/22
23;Björkby;;1;kronohemman;;;Vallentuna;Uppland;6603817.1338;672610.0131;59.537;18.0528;Hög;A10:59;https://sok.riksarkivet.se/bildvisning/R0000150_00034;https://sok.riksarkivet.se/topografi/23
23;Björkby;;2;torp;;;Vallentuna;Uppland;6603817.1338;672610.0131;59.537;18.0528;Hög;A10:59;https://sok.riksarkivet.se/bildvisning/R0000150_00034;https://sok.riksarkivet.se/topografi/23
23;Björkby;;3;torp;;;Vallentuna;Uppland;6603817.1338;672610.0131;59.537;18.0528;Hög;A10:59;https://sok.riksarkivet.se/bildvisning/R0000150_00034;https://sok.riksarkivet.se/topografi/23
