id;kommentar_tora;kommentar;framförställt;namn;efterställt;kategori;kartvolym;källa_kartakt;källa_url;toraid;toraid_url;tora_bebyggelseenhet;socken;härad;landskap;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long
23098;;;j;Tåby sochn;;bebyggelsenamn;Sturefors;Sturefors:29;https://sok.riksarkivet.se/bildvisning/R0000499_00024;;;;Tåby;Björkekinds h:d;;;;;
23099;behövs uppdelningen på Stora och Lilla?;;;Wendelstorp;;bebyggelsenamn;Sturefors;Sturefors:30;;;;;Drothem;Hammarkinds h:d;;;;;
23100;;;;Wendelstorp;;bebyggelsenamn;Sturefors;Sturefors:30;;;;;Drothem;Hammarkinds h:d;;;;;
23101;koder saknas;;;Kåhllstad;;bebyggelsenamn;Sturefors;Sturefors:31;;;;;Drothem;Hammarkinds h:d;;;;;
23102;;;;Söderköpings åhnn;;naturnamn;Sturefors;Sturefors:31;;;;;Drothem;Hammarkinds h:d;;;;;
23103;;Namnet är förkortat;;S<ankt> Srottens sochn;;bebyggelsenamn;Sturefors;Sturefors:31;;;;;Drothem;Hammarkinds h:d;;;;;
23104;;;hanß greffweliga nådhe;Jacob Delagardie;;personnamn;Sturefors;Sturefors:32-33;https://sok.riksarkivet.se/bildvisning/R0000499_00026;;;;Östra Husby;Östkinds h:d;;;;;
23105;kod saknas;;;Jemie;;bebyggelsenamn;Sturefors;Sturefors:32-33;https://sok.riksarkivet.se/bildvisning/R0000499_00026;;;;Östra Husby;Östkinds h:d;;;;;
23106;;;wällbörd<ige>;Rothkyrkz;;personnamn;Sturefors;Sturefors:32-33;https://sok.riksarkivet.se/bildvisning/R0000499_00026;;;;Östra Husby;Östkinds h:d;;;;;
23107;;;;Wijesätter;;bebyggelsenamn;Sturefors;Sturefors:32-33;https://sok.riksarkivet.se/bildvisning/R0000499_00026;;;;Östra Husby;Östkinds h:d;;;;;
23108;;;i;Mastad;by;bebyggelsenamn;Sturefors;Sturefors:32-33;https://sok.riksarkivet.se/bildvisning/R0000499_00026;;;;Östra Husby;Östkinds h:d;;;;;
23109;;;vtaff;Waltersteen;;bebyggelsenamn;Sturefors;Sturefors:32-33;https://sok.riksarkivet.se/bildvisning/R0000499_00026;;;;Östra Stenby;Östkinds h:d;;;;;
23110;;;;Wijesteen;;bebyggelsenamn;Sturefors;Sturefors:32-33;https://sok.riksarkivet.se/bildvisning/R0000499_00026;4210;https://sok.riksarkivet.se/topografi/4210;Visten;Å;Björkekinds h:d;Östergötland;6484160,5098;588981,1322;58,489;16,5263
