wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (2011997.83594562322832644 8200890.87126881815493107);32313;461;;medium;6554655.435651;676087.944244;59.09473446;18.07408408;1630033.2679778;6554798.49002404;1360600019;Stav
Point (2011944.32067424221895635 8200631.39057544432580471);32312;461;;medium;6554520.942083;676066.55744;59.09353721;18.07360334;1630010.25255943;6554664.23341686;1360600019;Stav
Point (2008048.60544733610004187 8202872.72515561897307634);32317;463;;medium;6555579.785793;674010.361381;59.10387737;18.03860754;1627966.52119399;6555748.09522502;1360600021;Ålsta
Point (2008235.81499053467996418 8202915.00455466099083424);32316;463;;medium;6555605.873589;674105.636424;59.10407239;18.04028927;1628062.12693821;6555773.03585395;1360600021;Ålsta
Point (2010363.54178431420587003 8202630.45528356544673443);32321;464;;medium;6555509.836785;675206.412085;59.10275984;18.05940296;1629161.91955166;6555663.68078865;1360600022;Mulsta
Point (2007959.03598873224109411 8202851.44862078409641981);32318;463;;medium;6555566.767003;673964.801609;59.10377923;18.03780292;1627920.79670762;6555735.62491055;1360600021;Ålsta
Point (2010357.43429745291359723 8202745.80863139964640141);32323;464;;medium;6555568.903776;675200.555968;59.10329194;18.0593481;1629156.7763123;6555722.82804121;1360600022;Mulsta
Point (2010419.86502648470923305 8202818.79361064080148935);32322;464;;medium;6555607.839005;675230.939992;59.1036286;18.05990892;1629187.63574842;6555761.40233636;1360600022;Mulsta
Point (2007760.50506770261563361 8196704.51888448372483253);32328;466;;medium;6552405.629182;674006.352665;59.07541349;18.03601949;1627924.15812528;6552573.47284397;1360600024;Ekeby
Point (2007952.5914682752918452 8196732.90363973844796419);32330;466;;medium;6552424.709904;674104.542744;59.07554453;18.03774503;1628022.59462121;6552591.37038868;1360600024;Ekeby
Point (2007870.6255550121422857 8196706.6358098816126585);32329;466;;medium;6552409.295582;674062.97476;59.07542327;18.03700871;1627980.83368355;6552576.45576809;1360600024;Ekeby
Point (2016682.60663374862633646 8202426.65446225833147764);32264;448;;medium;6555555.634561;678460.631489;59.10181972;18.11616809;1632417.20927649;6555670.15881292;1360600006;Fors
Point (2016745.23774066939949989 8202338.11019723024219275);32263;448;;medium;6555511.688614;678494.961163;59.10141127;18.11673071;1632451.01325283;6555625.79109397;1360600006;Fors
Point (2016330.65706752939149737 8202578.69268414564430714);32266;448;;medium;6555625.225924;678276.010356;59.10252106;18.11300647;1632233.40015512;6555741.99226265;1360600006;Fors
Point (2016365.72198427910916507 8202524.00867900624871254);32265;448;;medium;6555597.998207;678295.351101;59.10226881;18.11332146;1632252.41489181;6555714.52653187;1360600006;Fors
Point (2010457.50921571161597967 8195116.00954284518957138);32276;450;;medium;6551652.907278;675431.739759;59.06807931;18.06024709;1629340.68133216;6551803.40967108;1360600008;Gryt
Point (2010366.23654232127591968 8195186.09671259671449661);32275;450;;medium;6551686.765241;675383.107278;59.06840294;18.05942717;1629292.45007547;6551837.86056872;1360600008;Gryt
Point (2010359.93689665850251913 8193410.99319120775908232);32278;452;;medium;6550774.428739;675421.682855;59.06020548;18.05937058;1629320.01079358;6550924.91178129;1360600010;Fållbrunna
Point (2010351.53727264748886228 8193558.64585151057690382);32279;452;;medium;6550850.114321;675413.879679;59.06088741;18.05929512;1629313.12061405;6551000.7037561;1360600010;Fållbrunna
Point (2012768.60125530860386789 8195069.27939883526414633);32283;454;;medium;6551683.635477;676622.447829;59.06786354;18.08100798;1630531.95070242;6551819.75838728;1360600012;Näringsberg
Point (2000316.50448616966605186 8195095.3297470947727561);32289;456;;medium;6551406.465141;670212.156929;59.06798382;17.96914889;1624117.26919591;6551619.98140294;1360600014;Hemfosa
Point (2000264.89439235371537507 8194902.23103722184896469);32288;456;;medium;6551306.059343;670190.004045;59.06709217;17.96868527;1624093.89972333;6551519.82652045;1360600014;Hemfosa
Point (2007666.22323014563880861 8193484.69037251174449921);32293;457;;medium;6550748.979559;674033.080017;59.06054585;18.03517254;1627930.8768494;6550916.23209125;1360600015;Västnora
Point (2008019.82354355184361339 8193129.89506666362285614);32295;457;;medium;6550574.915815;674223.434607;59.05890718;18.03834898;1628119.15965763;6550739.84082881;1360600015;Västnora
Point (2007733.20621395972557366 8193416.93922652862966061);32294;457;;medium;6550715.727938;674069.150476;59.06023294;18.03577426;1627966.55148675;6550882.5393782;1360600015;Västnora
Point (2008073.29870668984949589 8192542.40826591197401285);32296;457;;medium;6550274.210578;674264.716738;59.05619362;18.03882936;1628156.81621927;6550438.58833564;1360600015;Västnora
Point (2008713.15033319918438792 8193341.34378792997449636);32300;458;;medium;6550699.8594;674575.456217;59.05988379;18.04457724;1628472.74733926;6550860.55240553;1360600016;Östnora
Point (2008934.88353400770574808 8193321.85163913667201996);32299;458;;medium;6550695.051197;674690.075819;59.05979377;18.04656911;1628587.32733769;6550854.3588921;1360600016;Östnora
Point (2011346.14914966956712306 8203436.93017019238322973);32306;459;;medium;6555946.987317;675692.645101;59.10647978;18.06822987;1629653.51357463;6556095.0252591;1360600017;Välsta
Point (2022035.38083760975860059 8208854.82195941265672445);32213;426;;medium;6558983.33569;681056.619149;59.13145988;18.16425288;1635055.03130957;6559067.01554757;1360100027;Lundby
Point (2033404.37838872266001999 8203161.79049437865614891);32218;428;;medium;6556344.312396;687040.503959;59.10521072;18.26638232;1641007.91867561;6556355.26403936;1360100029;Stegsholmen
Point (2047980.74423764506354928 8187125.04665927868336439);32229;434;;medium;6548479.974437;694953.973949;59.03116111;18.39732404;1648827.50254162;6548394.19495095;1360400002;Sundby
Point (2047901.59282211493700743 8187128.1229519359767437);32228;434;;medium;6548479.48102;694913.113842;59.03117533;18.39661301;1648786.63083248;6548394.19495095;1360400002;Sundby
