query_name,qid,label,lat,lon,country,sitelinks
Westminster|,Q179351,City of Westminster,51.4975,-0.137222,United Kingdom,92
Windsor|,Q42646,Windsor Castle,51.483889,-0.604444,United Kingdom,85
Wismar|,Q7030,Wismar,53.8925,11.465,Germany,92
Ystad|,Q28287,Ystad,55.43462,13.825365,Sweden,60
Åbenrå|,Q154897,Aabenraa,55.0447,9.4195,Denmark,55
Åhus|,Q127419,Åhus,55.928535,14.295047,Sweden,30
Ålborg|,Q25410,Aalborg,57.05,9.916667,Denmark,110
Ålholm Slot|Denmark,Q4661399,Aalholm,54.664444,11.723611,Denmark,5
Århus|,Q25319,Aarhus,56.156389,10.209722,Denmark,127
Örebro|,Q25732,Örebro,59.266926,15.196522,Sweden,103
